in_n,in_m,in_alpha,in_relax,in_tol,in_its,out_its,out_tmpi,out_tclock,out_res,out_err,out_np,out_opt
840,840,0.8,1,1e-13,50,50,0.799238,0.797,5.40181e-09,0.000633904,1,0
840,840,0.8,1,1e-13,50,50,0.798880,0.797,5.40181e-09,0.000633904,1,0
840,840,0.8,1,1e-13,50,50,0.799185,0.797,5.40181e-09,0.000633904,1,0
840,840,0.8,1,1e-13,50,50,0.477342,0.476,5.40181e-09,0.000633904,1,1
840,840,0.8,1,1e-13,50,50,0.475667,0.474,5.40181e-09,0.000633904,1,1
840,840,0.8,1,1e-13,50,50,0.475736,0.474,5.40181e-09,0.000633904,1,1
840,840,0.8,1,1e-13,50,50,0.470300,0.469,5.40181e-09,0.000633904,1,1x
840,840,0.8,1,1e-13,50,50,0.470376,0.469,5.40181e-09,0.000633904,1,1x
840,840,0.8,1,1e-13,50,50,0.470592,0.469,5.40181e-09,0.000633904,1,1x
840,840,0.8,1,1e-13,50,50,0.478493,0.477,5.40181e-09,0.000633904,1,2
840,840,0.8,1,1e-13,50,50,0.478599,0.477,5.40181e-09,0.000633904,1,2
840,840,0.8,1,1e-13,50,50,0.478578,0.477,5.40181e-09,0.000633904,1,2
840,840,0.8,1,1e-13,50,50,0.469976,0.468,5.40181e-09,0.000633904,1,2x
840,840,0.8,1,1e-13,50,50,0.470459,0.469,5.40181e-09,0.000633904,1,2x
840,840,0.8,1,1e-13,50,50,0.470083,0.468,5.40181e-09,0.000633904,1,2x
840,840,0.8,1,1e-13,50,50,0.464079,0.462,5.40181e-09,0.000633904,1,3
840,840,0.8,1,1e-13,50,50,0.463928,0.462,5.40181e-09,0.000633904,1,3
840,840,0.8,1,1e-13,50,50,0.463826,0.462,5.40181e-09,0.000633904,1,3
840,840,0.8,1,1e-13,50,50,0.455258,0.454,5.40181e-09,0.000633904,1,3x
840,840,0.8,1,1e-13,50,50,0.454393,0.453,5.40181e-09,0.000633904,1,3x
840,840,0.8,1,1e-13,50,50,0.454672,0.453,5.40181e-09,0.000633904,1,3x
840,840,0.8,1,1e-13,50,50,0.807643,0.804,5.40181e-09,0.000633904,2,0
840,840,0.8,1,1e-13,50,50,0.802117,0.799,5.40181e-09,0.000633904,2,0
840,840,0.8,1,1e-13,50,50,0.802642,0.800,5.40181e-09,0.000633904,2,0
840,840,0.8,1,1e-13,50,50,0.482931,0.481,5.40181e-09,0.000633904,2,1
840,840,0.8,1,1e-13,50,50,0.483604,0.481,5.40181e-09,0.000633904,2,1
840,840,0.8,1,1e-13,50,50,0.483394,0.481,5.40181e-09,0.000633904,2,1
840,840,0.8,1,1e-13,50,50,0.476724,0.474,5.40181e-09,0.000633904,2,1x
840,840,0.8,1,1e-13,50,50,0.476344,0.474,5.40181e-09,0.000633904,2,1x
840,840,0.8,1,1e-13,50,50,0.475644,0.473,5.40181e-09,0.000633904,2,1x
840,840,0.8,1,1e-13,50,50,0.483787,0.482,5.40181e-09,0.000633904,2,2
840,840,0.8,1,1e-13,50,50,0.483946,0.482,5.40181e-09,0.000633904,2,2
840,840,0.8,1,1e-13,50,50,0.486301,0.484,5.40181e-09,0.000633904,2,2
840,840,0.8,1,1e-13,50,50,0.478222,0.476,5.40181e-09,0.000633904,2,2x
840,840,0.8,1,1e-13,50,50,0.475431,0.473,5.40181e-09,0.000633904,2,2x
840,840,0.8,1,1e-13,50,50,0.477288,0.475,5.40181e-09,0.000633904,2,2x
840,840,0.8,1,1e-13,50,50,0.494935,0.492,5.40181e-09,0.000633904,2,3
840,840,0.8,1,1e-13,50,50,0.494071,0.491,5.40181e-09,0.000633904,2,3
840,840,0.8,1,1e-13,50,50,0.493335,0.491,5.40181e-09,0.000633904,2,3
840,840,0.8,1,1e-13,50,50,0.484605,0.482,5.40181e-09,0.000633904,2,3x
840,840,0.8,1,1e-13,50,50,0.482364,0.480,5.40181e-09,0.000633904,2,3x
840,840,0.8,1,1e-13,50,50,0.483077,0.480,5.40181e-09,0.000633904,2,3x
840,840,0.8,1,1e-13,50,50,0.802170,0.795,5.40181e-09,0.000633904,3,0
840,840,0.8,1,1e-13,50,50,0.802477,0.799,5.40181e-09,0.000633904,3,0
840,840,0.8,1,1e-13,50,50,0.801661,0.798,5.40181e-09,0.000633904,3,0
840,840,0.8,1,1e-13,50,50,0.481133,0.479,5.40181e-09,0.000633904,3,1
